lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;2272
1491;Radoszyce;Radoszyce;powiat konecki;2959;;;;
1492;Radwan;Iwaniska;powiat opatowski;185;;;;
1493;Radwanów-Kolonia;Słupia (Konecka);powiat konecki;97;;;;
1494;Radwanów;Słupia (Konecka);powiat konecki;129;;;;
1495;Radzanów;Busko-Zdrój;powiat buski;379;;;;
1496;Rajchotka;Imielno;powiat jędrzejowski;21;;;;
1497;Rakoszyn;Nagłowice;powiat jędrzejowski;334;;;;
1498;Raków;Jędrzejów;powiat jędrzejowski;489;;;;
1499;Raków;Raków;powiat kielecki;1010;;;;
1500;Rakówka;Raków;powiat kielecki;126;;;;
1501;Raszków;Słupia;powiat jędrzejowski;277;;;;
1502;Rataje Karskie;Pacanów;powiat buski;201;;;;
1503;Rataje Słupskie;Pacanów;powiat buski;536;;;;
1504;Rataje;Wąchock;powiat starachowicki;483;;;;
1505;Rawka;Słupia;powiat jędrzejowski;106;;;;
1506;Rączki;Kluczewsko;powiat włoszczowski;303;;;;
1507;Rejowiec;Nagłowice;powiat jędrzejowski;46;;;;
1508;Rejterówka;Łubnice;powiat staszowski;93;;;;
1509;Rembiechowa;Oksa;powiat jędrzejowski;386;;;;
1510;Rembieszyce;Małogoszcz;powiat jędrzejowski;323;;;;
1511;Rembów;Raków;powiat kielecki;230;;;;
1512;Rębów;Kije;powiat pińczowski;185;;;;
1513;Rędocin;Bliżyn;powiat skarżyski;64;;;;
1514;Rogacz;Klimontów;powiat sandomierski;110;;;;
1515;Rogalów;Krasocin;powiat włoszczowski;1;;;;
1516;Rogienice;Włoszczowa;powiat włoszczowski;216;;;;
1517;Rogowice;Mniów;powiat kielecki;267;;;;
1518;Rogów;Końskie;powiat konecki;1308;;;;
1519;Rogów;Opatowiec;powiat kazimierski;235;;;;
1520;Rogówek;Gowarczów;powiat konecki;80;;;;
1521;Romanów;Bodzechów;powiat ostrowiecki;33;;;;
1522;Romanówka;Dwikozy;powiat sandomierski;246;;;;
1523;Ropocice;Secemin;powiat włoszczowski;1;;;;
1524;Rosiejów;Skalbmierz;powiat kazimierski;284;;;;
1525;Rosochy;Opatów;powiat opatowski;118;;;;
1526;Rosołówka;Bogoria;powiat staszowski;134;;;;
1527;Rozgół;Smyków;powiat konecki;1;;;;
1528;Roztylice;Waśniów;powiat ostrowiecki;311;;;;
1529;Rożki;Obrazów;powiat sandomierski;298;;;;
1530;Rożnica;Słupia;powiat jędrzejowski;494;;;;
1531;Ruczynów;Busko-Zdrój;powiat buski;172;;;;
1532;Ruda Białaczowska;Gowarczów;powiat konecki;474;;;;
1533;Ruda Kościelna;Ćmielów;powiat ostrowiecki;193;;;;
1534;Ruda Maleniecka;Ruda Maleniecka;powiat konecki;490;;;;
1535;Ruda Pilczycka;Słupia (Konecka);powiat konecki;392;;;;
1536;Ruda Strawczyńska;Strawczyn;powiat kielecki;836;;;;
1537;Ruda Zajączkowska;Łopuszno;powiat kielecki;424;;;;
1538;Ruda;Brody;powiat starachowicki;617;;;;
1539;Ruda;Gnojno;powiat buski;88;;;;
1540;Ruda;Rytwiany;powiat staszowski;350;;;;
1541;Rudawa;Złota;powiat pińczowski;171;;;;
1542;Rudka Bałtowska;Bałtów;powiat ostrowiecki;145;;;;
1543;Rudka;Kunów;powiat ostrowiecki;384;;;;
1544;Rudka;Fałków;powiat konecki;1;;;;
1545;Rudki;Szydłów;powiat staszowski;260;;;;
1546;Rudnik;Brody;powiat starachowicki;325;;;;
1547;Rudnik;Krasocin;powiat włoszczowski;1;;;;
1548;Rudniki;Łopuszno;powiat kielecki;149;;;;
1549;Rudniki;Baćkowice;powiat opatowski;153;;;;
1550;Rudniki;Połaniec;powiat staszowski;434;;;;
