Miasto;Powiat;Województwo;Populacja;Obszar;Status;Szansa;IleNiepustych;979
Olkusz;powiat olkuski;małopolskie;34265;25,70;0;5;;
Jasło;powiat jasielski;podkarpackie;34040;36,50;0;5;;
Cieszyn;powiat cieszyński;śląskie;33500;28,60;0;5;;
Kraśnik;powiat kraśnicki;lubelskie;33382;26,10;0;5;;
Nowy Targ;powiat nowotarski;małopolskie;33090;51,10;0;5;;
Iława;powiat iławski;warmińsko-mazurskie;33003;21,90;0;5;;
Oława;powiat oławski;dolnośląskie;32997;27,40;0;5;;
Grodzisk Mazowiecki;powiat grodziski;mazowieckie;32818;13,20;0;5;;
Ostróda;powiat ostródzki;warmińsko-mazurskie;32440;14,20;0;5;;
Dzierżoniów;powiat dzierżoniowski;dolnośląskie;32346;20,10;0;5;;
Pruszcz Gdański;powiat gdański;pomorskie;31949;16,50;0;5;;
Luboń;powiat poznański;wielkopolskie;31900;13,50;0;5;;
Police;powiat policki;zachodniopomorskie;31863;37,30;0;5;;
Mława;powiat mławski;mazowieckie;31047;34,80;0;5;;
Września;powiat wrzesiński;wielkopolskie;30937;12,70;0;5;;
Myszków;powiat myszkowski;śląskie;30776;73,60;0;5;;
Czeladź;powiat będziński;śląskie;30732;16,40;0;5;;
Żywiec;powiat żywiecki;śląskie;30313;50,50;0;5;;
Augustów;powiat augustowski;podlaskie;29729;80,90;0;5;;
Swarzędz;powiat poznański;wielkopolskie;29426;8,20;0;5;;
Bochnia;powiat bocheński;małopolskie;29317;29,90;0;5;;
Zgorzelec;powiat zgorzelecki;dolnośląskie;29253;15,90;0;5;;
Bielawa;powiat dzierżoniowski;dolnośląskie;29232;36,20;0;5;;
Łuków;powiat łukowski;lubelskie;29170;35,80;0;5;;
Śrem;powiat śremski;wielkopolskie;28821;12,40;0;5;;
Giżycko;powiat giżycki;warmińsko-mazurskie;28597;13,70;0;5;;
Nowy Dwór Mazowiecki;powiat nowodworski;mazowieckie;28564;28,20;0;5;;
Brodnica;powiat brodnicki;kujawsko-pomorskie;28536;23,20;0;5;;
Krotoszyn;powiat krotoszyński;wielkopolskie;28421;22,50;0;5;;
Czerwionka-Leszczyny;powiat rybnicki;śląskie;27683;37,60;0;5;;
Łowicz;powiat łowicki;łódzkie;27436;23,40;0;5;;
Reda;powiat wejherowski;pomorskie;27014;33,50;0;5;;
Wyszków;powiat wyszkowski;mazowieckie;26841;20,80;0;5;;
Gorlice;powiat gorlicki;małopolskie;26545;23,50;0;5;;
Zakopane;powiat tatrzański;małopolskie;26540;84,30;0;5;;
Kętrzyn;powiat kętrzyński;warmińsko-mazurskie;26436;10,40;0;5;;
Jarocin;powiat jarociński;wielkopolskie;26410;22,00;0;5;;
Turek;powiat turecki;wielkopolskie;26084;16,20;0;5;;
Kłodzko;powiat kłodzki;dolnośląskie;25990;24,80;0;5;;
Biłgoraj;powiat biłgorajski;lubelskie;25838;21,10;0;5;;
Kobyłka;powiat wołomiński;mazowieckie;25790;19,60;0;5;;
Pszczyna;powiat pszczyński;śląskie;25527;22,50;0;5;;
Wągrowiec;powiat wągrowiecki;wielkopolskie;25407;17,80;0;5;;
